Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-24 00:27:41.761309-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer:] internal event: WILL_SPAWN, code = 0
2026-04-24 00:27:41.761321-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer:] service state: spawn scheduled
2026-04-24 00:27:41.761322-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer:] service state: spawning
2026-04-24 00:27:41.761404-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer:] launching: ipc (mach)
2026-04-24 00:27:41.761918-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] xpcproxy spawned with pid 166
2026-04-24 00:27:41.761931-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] internal event: SPAWNED, code = 0
2026-04-24 00:27:41.761933-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] service state: xpcproxy
2026-04-24 00:27:41.761951-0500 0x238      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] internal event: SOURCE_ATTACH, code = 0
2026-04-24 00:27:41.771092-0500 0x237      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] service state: running
2026-04-24 00:27:41.771100-0500 0x237      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] internal event: INIT, code = 0
2026-04-24 00:27:41.771106-0500 0x237      Default     0x0                  1      0    launchd: [system/com.apple.WindowServer [166]:] Successfully spawned WindowServer[166] because ipc (mach)
2026-04-24 00:27:41.778596-0500 0x339      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-24 00:27:41.779370-0500 0x339      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-24 00:27:41.779493-0500 0x237      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] uncorking exec source upfront
2026-04-24 00:27:41.779501-0500 0x237      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] created
2026-04-24 00:27:41.785612-0500 0x339      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-24 00:27:41.789182-0500 0x339      Activity    0xe0                 166    0    WindowServer: (libsystem_info.dylib) Membership API: translate identifier
2026-04-24 00:27:41.898612-0500 0x339      Default     0x0                  166    0    WindowServer: (libsystem_coreservices.dylib) [com.apple.libcoreservices:] _dirhelper_update_tmpdir: old=(null), new=<private>
2026-04-24 00:27:42.008374-0500 0x2e8      Default     0x0                  99     7    UserEventAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:42.013556-0500 0x339      Default     0x0                  166    7    WindowServer: (SkyLight) [com.apple.SkyLight:default] watchdog monitoring not yet enabled, skipping watchdog early initialization
2026-04-24 00:27:42.013564-0500 0x339      Default     0x0                  166    7    WindowServer: (SkyLight) [com.apple.SkyLight:default] Server is starting up
2026-04-24 00:27:42.030304-0500 0x2e8      Default     0x0                  99     7    UserEventAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:43.962695-0500 0x303      Default     0x0                  139    0    apsd: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:43.993316-0500 0x237      Default     0x0                  1      0    launchd: [pid/127 [mds]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:43.995145-0500 0x237      Default     0x0                  1      0    launchd: [user/0/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-24 00:27:43.995148-0500 0x237      Default     0x0                  1      0    launchd: [user/0/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-24 00:27:44.013734-0500 0x237      Default     0x0                  1      0    launchd: [pid/188 [lsd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.062163-0500 0x239      Default     0x0                  1      0    launchd: [pid/210 [airportd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.153640-0500 0x237      Default     0x0                  1      0    launchd: [pid/225 [authd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.316107-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:44.316192-0500 0x430      Default     0x0                  213    7    VDCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:44.363679-0500 0x238      Default     0x0                  1      0    launchd: [pid/230 [coreaudiod]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.364303-0500 0x238      Default     0x0                  1      0    launchd: [user/202/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-24 00:27:44.364305-0500 0x238      Default     0x0                  1      0    launchd: [user/202/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-24 00:27:44.510844-0500 0x2a2      Default     0x0                  1      0    launchd: [pid/231 [mdmclient]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.531288-0500 0x57c      Default     0x0                  222    7    UserEventAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:44.531411-0500 0x57c      Default     0x0                  222    7    UserEventAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:44.727769-0500 0x2a2      Default     0x0                  1      0    launchd: [pid/245 [com.apple.audio]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:45.073459-0500 0x5b1      Default     0x0                  243    0    ARDAgent: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.260017-0500 0x5b1      Default     0x0                  243    7    ARDAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:45.260103-0500 0x5b1      Default     0x0                  243    7    ARDAgent: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
