Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-24 00:27:41.845781-0500 0x30a      Default     0x0                  160    0    bluetoothd: [com.apple.bluetooth:Server.Core] main -- calling xpc_transactions_enable() -- SIGTERM
2026-04-24 00:27:43.855508-0500 0x347      Error       0x0                  122    0    ifcstart: (CoreFoundation) [com.apple.CFPasteboard:general] Connection to 'pboard' server had an error: <dictionary: 0x7ff8471c8ce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-24 00:27:43.857075-0500 0x2f5      Error       0x0                  122    0    ifcstart: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff8471c8ce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-24 00:27:43.937175-0500 0x483      Default     0x391                173    0    runningboardd: (RunningBoard) [com.apple.runningboard:connection] Taking Transaction as now busy with client
2026-04-24 00:27:43.993316-0500 0x237      Default     0x0                  1      0    launchd: [pid/127 [mds]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:43.995145-0500 0x237      Default     0x0                  1      0    launchd: [user/0/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-24 00:27:43.995148-0500 0x237      Default     0x0                  1      0    launchd: [user/0/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-24 00:27:44.013734-0500 0x237      Default     0x0                  1      0    launchd: [pid/188 [lsd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.062163-0500 0x239      Default     0x0                  1      0    launchd: [pid/210 [airportd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:44.120705-0500 0x34f      Error       0x0                  125    0    ManagedClient: (CoreFoundation) [com.apple.CFPasteboard:general] Connection to 'pboard' server had an error: <dictionary: 0x7ff8471c8ce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-24 00:27:44.122381-0500 0x2f7      Error       0x0                  125    0    ManagedClient: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'Apple CFPasteboard general'. Error: <dictionary: 0x7ff8471c8ce0> { count = 1, transaction: 0, voucher = 0x0, contents =
