Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-24 01:22:48.648154-0500 0x72       Default     0x0                  0      0    kernel: PMRD: changePowerStateWithTagToPriv(ON_STATE, 10001)
2026-04-24 01:22:48.662995-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (OFF_STATE->ON_STATE, f, 0x2) tag 0x20064
2026-04-24 01:22:48.663003-0500 0x79       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2026-04-24 01:22:48.663021-0500 0x79       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2026-04-24 01:22:48.663023-0500 0x79       Default     0x0                  0      0    kernel: PMRD: tellChangeUp OFF_STATE->ON_STATE
2026-04-24 01:22:48.663028-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: OFF_STATE->ON_STATE
2026-04-24 01:22:48.663030-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x10001
2026-04-24 01:22:48.663031-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2026-04-24 01:22:48.663032-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x30064
2026-04-24 01:22:48.663034-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2026-04-24 01:22:48.663035-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x40064
2026-04-24 01:22:48.663036-0500 0x79       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2026-04-24 01:22:49.822389-0500 0x72       Default     0x0                  0      0    kernel: (AppleACPIPlatform) During name lookup/catalog
2026-04-24 01:22:49.822390-0500 0x72       Default     0x0                  0      0    kernel: (AppleACPIPlatform) During name lookup/catalog
2026-04-24 01:22:49.856252-0500 0x72       Default     0x0                  0      0    kernel: (AppleACPIPlatform) During name lookup/catalog
2026-04-24 01:22:49.856252-0500 0x72       Default     0x0                  0      0    kernel: (AppleACPIPlatform) During name lookup/catalog
