Timestamp                       (process)[PID]    
2026-04-24 08:41:59.941292-0500  localhost launchd[1]: [system/com.apple.WindowServer:] internal event: WILL_SPAWN, code = 0
2026-04-24 08:41:59.941301-0500  localhost launchd[1]: [system/com.apple.WindowServer:] service state: spawn scheduled
2026-04-24 08:41:59.941302-0500  localhost launchd[1]: [system/com.apple.WindowServer:] service state: spawning
2026-04-24 08:41:59.941349-0500  localhost launchd[1]: [system/com.apple.WindowServer:] launching: ipc (mach)
2026-04-24 08:41:59.941686-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] xpcproxy spawned with pid 166
2026-04-24 08:41:59.941697-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] internal event: SPAWNED, code = 0
2026-04-24 08:41:59.941700-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] service state: xpcproxy
2026-04-24 08:41:59.941709-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] internal event: SOURCE_ATTACH, code = 0
2026-04-24 08:41:59.949527-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] service state: running
2026-04-24 08:41:59.949555-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] internal event: INIT, code = 0
2026-04-24 08:41:59.949561-0500  localhost launchd[1]: [system/com.apple.WindowServer [166]:] Successfully spawned WindowServer[166] because ipc (mach)
2026-04-24 08:41:59.955345-0500  localhost WindowServer[166]: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-24 08:41:59.955582-0500  localhost WindowServer[166]: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-24 08:41:59.955747-0500  localhost launchd[1]: [pid/166 [WindowServer]:] uncorking exec source upfront
2026-04-24 08:41:59.955761-0500  localhost launchd[1]: [pid/166 [WindowServer]:] created
2026-04-24 08:41:59.957788-0500  localhost WindowServer[166]: (libxpc.dylib) [com.apple.xpc.bundle:] bundle /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer tainted with reason "missing executable"
2026-04-24 08:41:59.965076-0500  localhost WindowServer[166]: (libsystem_info.dylib) Created Activity ID: 0xc0, Description: Membership API: translate identifier
