Timestamp                       (process)[PID]    
2026-04-26 05:02:07.731693-0500  localhost bluetoothd[160]: [com.apple.bluetooth:Server.Core] main -- calling xpc_transactions_enable() -- SIGTERM
2026-04-26 05:02:09.836118-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:09.839558-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Connection to 'pboard' server had an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:09.911445-0500  localhost remoted[118]: [com.apple.RemoteServiceDiscovery:rsd_events] <Unknown>: <dictionary: 0x7fc72b006dc0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:09.911903-0500  localhost remoted[118]: [com.apple.RemoteServiceDiscovery:rsd_events] <Unknown>: <dictionary: 0x7fc72b508080> { count = 2, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:09.923113-0500  localhost runningboardd[205]: (RunningBoard) [com.apple.runningboard:connection] Taking Transaction as now busy with client
2026-04-26 05:02:09.964191-0500  localhost launchd[1]: [pid/247 [airportd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:09.966242-0500  localhost launchd[1]: [user/0/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:09.966245-0500  localhost launchd[1]: [user/0/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-26 05:02:09.975627-0500  localhost launchd[1]: [pid/127 [mds]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:09.991955-0500  localhost launchd[1]: [pid/231 [lsd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.043810-0500  localhost locationd[145]: [com.apple.locationd.Utility:QA] os_transaction created: (0x70000af92118) CLNameValuePair.SaveToBinaryFile
2026-04-26 05:02:10.052271-0500  localhost locationd[145]: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x70000af92118) CLNameValuePair.SaveToBinaryFile
2026-04-26 05:02:10.070185-0500  localhost launchd[1]: [pid/255 [authd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.113403-0500  localhost ManagedClient[125]: (CoreFoundation) [com.apple.CFPasteboard:general] Connection to 'pboard' server had an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.113979-0500  localhost ManagedClient[125]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'Apple CFPasteboard general'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.161543-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.161620-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.162230-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.162312-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.167270-0500  localhost ifcstart[122]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.207225-0500  localhost universalaccessd[260]: (CoreFoundation) [com.apple.CFPasteboard:general] Connection to 'pboard' server had an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.207227-0500  localhost universalaccessd[260]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'Apple CFPasteboard general'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.311483-0500  localhost VDCAssistant[249]: (TCC) [com.apple.TCC:access] RECV: synchronous reply <dictionary: 0x7f77d35044a0> { count = 5, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.404779-0500  localhost launchd[1]: [pid/270 [coreaudiod]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.405370-0500  localhost launchd[1]: [user/202/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:10.405372-0500  localhost launchd[1]: [user/202/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-26 05:02:10.545360-0500  localhost com.apple.audio.Core-Audio-Driver-Service[274]: (CoreAnalytics) [com.apple.CoreAnalytics:client] Queueing exit procedure onto XPC queue. Any further messages sent will be discarded. activeSendTransactions=2
2026-04-26 05:02:10.721375-0500  localhost security[283]: (CoreAnalytics) [com.apple.CoreAnalytics:client] Queueing exit procedure onto XPC queue. Any further messages sent will be discarded. activeSendTransactions=4
2026-04-26 05:02:10.753728-0500  localhost launchd[1]: [pid/284 [com.apple.audio]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.806239-0500  localhost launchd[1]: [pid/264 [mdmclient]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:10.845521-0500  localhost com.apple.audio.Core-Audio-Driver-Service[274]: (CoreAnalytics) [com.apple.CoreAnalytics:client] Timed out waiting for the exit barrier block. activeSendTransactions=2
2026-04-26 05:02:10.919011-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Connection to 'pboard' server had an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.919053-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.978590-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.978640-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.978820-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.978910-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.979069-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'AppleIntlFileCacheModificationDatePasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.979263-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'DefaultAsciiKeyboardLayoutPasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:10.982460-0500  localhost imklaunchagent[256]: (CoreFoundation) [com.apple.CFPasteboard:general] Failed to set up CFPasteboardRef 'DefaultAsciiKeyboardLayoutPasteboard'. Error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:11.010217-0500  localhost security[287]: (CoreAnalytics) [com.apple.CoreAnalytics:client] Queueing exit procedure onto XPC queue. Any further messages sent will be discarded. activeSendTransactions=0
2026-04-26 05:02:11.026492-0500  localhost security[292]: (CoreAnalytics) [com.apple.CoreAnalytics:client] Queueing exit procedure onto XPC queue. Any further messages sent will be discarded. activeSendTransactions=0
2026-04-26 05:02:11.201936-0500  localhost launchd[1]: [pid/140 [launchservicesd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.452989-0500  localhost mediaremoted[104]: (TCC) [com.apple.TCC:access] RECV: synchronous reply <dictionary: 0x7fb757a09850> { count = 5, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:12.515887-0500  localhost MRT[105]: (CoreAnalytics) [com.apple.CoreAnalytics:client] Queueing exit procedure onto XPC queue. Any further messages sent will be discarded. activeSendTransactions=0
2026-04-26 05:02:12.532348-0500  localhost launchd[1]: [pid/109 [accessoryupdate]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.534102-0500  localhost launchd[1]: [user/278/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:12.534105-0500  localhost launchd[1]: [user/278/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-26 05:02:12.537241-0500  localhost accessoryupdaterd[109]: (libxpc.dylib) Event stream listener got an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:12.557577-0500  localhost accessoryupdaterd[109]: (libxpc.dylib) Event stream listener got an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:12.559793-0500  localhost accessoryupdaterd[109]: (libxpc.dylib) Event stream listener got an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:12.567936-0500  localhost accessoryupdaterd[109]: (libxpc.dylib) Event stream listener got an error: <dictionary: 0x7ff854e2cce0> { count = 1, transaction: 0, voucher = 0x0, contents =
2026-04-26 05:02:12.703363-0500  localhost launchd[1]: [pid/310 [UARPUpdaterServ]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.707499-0500  localhost launchd[1]: [pid/313 [UARPUpdaterServ]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.713617-0500  localhost launchd[1]: [pid/309 [UARPUpdaterServ]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:22.112367-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:22.112547-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:22.112706-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"RecordingTimestamp", "isFound":1}
2026-04-26 05:02:22.112725-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-26 05:02:22.112864-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:22.113088-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-26 05:02:22.113238-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"LastActiveTimestamp", "isFound":1}
